[21:34:46] [Info] こんにちは！ Booting Zettlr at Sat Jul 17 2021 21:34:44 GMT+0530 (India Standard Time).
[21:34:46] [Info] Performing environment check ...
[21:34:46] [Info] [Application] Pandoc has been bundled with this release. Path: /tmp/.mount_Z.AppInqAAK9/resources/pandoc
[21:34:46] [Info] Environment check complete.
[21:34:46] [Info] Registering custom protocol safe-file
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/13/Wed/this.Day took 229ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/13/Wed took 239ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/13 took 804ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Fri/this.Day took 116ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Fri took 121ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Sun/this.Day took 109ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Sun took 117ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/HamExam/HamRadioExam/701HamRadioExam/callsigns.md took 128ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/HamExam/HamRadioExam/701HamRadioExam took 142ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/HamExam/HamRadioExam took 152ms to load.
[21:35:11] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/HamExam took 192ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/_old/2021_03_17_15_46_33.md took 287ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/_old took 289ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/screenshots/_old took 163ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day/screenshots took 218ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue/this.Day took 721ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Tue took 823ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Wed/this.Day/HamExam/HamRadioExam/701HamRadioExam took 125ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Wed/this.Day/HamExam/HamRadioExam took 127ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Wed/this.Day/HamExam took 133ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Wed/this.Day took 174ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14/Wed took 178ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/14 took 1294ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day/HamExam/_Certificates took 177ms to load.
[21:35:12] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day/HamExam took 210ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day/readmethisDay.md took 212ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day/screenshots/_old took 232ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day/screenshots took 260ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon/this.Day took 719ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Mon took 721ms to load.
[21:35:13] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu/this.Day/LICyet2pay took 191ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu/this.Day/screenshots/_old/screenshot_20210315_204450.png took 3210ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu/this.Day/screenshots/_old took 3282ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu/this.Day/screenshots took 3400ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu/this.Day took 3925ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Thu took 4009ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Tue/this.Day/screenshots/ExwC7XiVIAA66FM.png took 154ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Tue/this.Day/screenshots/_old took 111ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Tue/this.Day/screenshots took 336ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Tue/this.Day took 407ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15/Tue took 413ms to load.
[21:35:17] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/15 took 5310ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/16/Sat/this.Day took 108ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/16/Sat took 124ms to load.
[21:35:18] [Warning] [FSAL Directory] Path /home/rahu/Homebox/1000DailyDo/43F/2021/16/Thu/this.Day took 126ms to load.
